CLARK Y_mod AIRFOIL
 1.0000010    -0.0002833
 0.9900004     0.0027180
 0.9799998     0.0057154
 0.9699991     0.0087007
 0.9599985     0.0116700
 0.9399973     0.0174667
 0.9199961     0.0233965
 0.8999949     0.0282913
 0.8799938     0.0336885
 0.8599927     0.0389903
 0.8399917     0.0441722
 0.8199906     0.0492224
 0.7999897     0.0541336
 0.7799887     0.0588930
 0.7599878     0.0634945
 0.7399870     0.0679291
 0.7199862     0.0721925
 0.6999854     0.0762762
 0.6799847     0.0801703
 0.6599840     0.0838558
 0.6399833     0.0873159
 0.6199827     0.0905341
 0.5999822     0.0934972
 0.5799817     0.0962007
 0.5599813     0.0986456
 0.5399809     0.1008355
 0.5199806     0.1027744
 0.4999804     0.1044634
 0.4799802     0.1058973
 0.4599801     0.1070596
 0.4399800     0.1079305
 0.4199800     0.1084919
 0.3999801     0.1087312
 0.3799803     0.1086609
 0.3599806     0.1083057
 0.3399810     0.1076937
 0.3199814     0.1068509
 0.2999819     0.1057936
 0.2799825     0.1044687
 0.2599831     0.1027822
 0.2399838     0.1006308
 0.2199846     0.0979206
 0.1999856     0.0945715
 0.1799867     0.0905565
 0.1599879     0.0859025
 0.1399893     0.0806245
 0.1199908     0.0746662
 0.0999924     0.0678961
 0.0799942     0.0601349
 0.0599962     0.0505678
 0.0499972     0.0454298
 0.0399982     0.0396521
 0.0299994     0.0328106
 0.0200009     0.0240695
 0.0120020     0.0159603
 0.0080020     0.0112572
 0.0040019     0.0070039
 0.0020017     0.0039820
 0.0010016     0.0023375
 0.0005014     0.0010616
 0.0000011    -0.0009569
 0.0005005    -0.0050790
 0.0010003    -0.0061222
 0.0020000    -0.0074429
 0.0039994    -0.0097708
 0.0079985    -0.0123974
 0.0119974    -0.0145396
 0.0199950    -0.0155852
 0.0299922    -0.0154151
 0.0399899    -0.0152452
 0.0499881    -0.0149961
 0.0599863    -0.0145266
 0.0799831    -0.0132889
 0.0999804    -0.0117047
 0.1199779    -0.0101623
 0.1399758    -0.0086526
 0.1599738    -0.0071626
 0.1799721    -0.0057152
 0.1999706    -0.0043443
 0.2199693    -0.0030522
 0.2399683    -0.0018053
 0.2599674    -0.0005855
 0.2799667     0.0006129
 0.2999662     0.0017857
 0.3199657     0.0029167
 0.3399653     0.0039764
 0.3599650     0.0049554
 0.3799648     0.0058515
 0.3999647     0.0066589
 0.4199647     0.0073760
 0.4399649     0.0080026
 0.4599651     0.0085406
 0.4799655     0.0089922
 0.4999660     0.0093576
 0.5199665     0.0096426
 0.5399671     0.0098508
 0.5599678     0.0099833
 0.5799687     0.0100413
 0.5999695     0.0100269
 0.6199705     0.0099425
 0.6399716     0.0097916
 0.6599727     0.0095808
 0.6799739     0.0093150
 0.6999752     0.0089983
 0.7199766     0.0086347
 0.7399780     0.0082242
 0.7599794     0.0077686
 0.7799809     0.0072645
 0.7999825     0.0067136
 0.8199841     0.0061134
 0.8399858     0.0054666
 0.8599875     0.0047709
 0.8799893     0.0040295
 0.8999911     0.0032485
 0.9199929     0.0024569
 0.9399949     0.0015619
 0.9599968     0.0006257
 0.9699978     0.0001409
 0.9799988    -0.0003517
 0.9899999    -0.0008489
 1.0000009    -0.0013476
